T,Y,Z
+0.703125,-0.176777,-0.176777
+0.705078,-0.193253,-0.158598
+0.707031,-0.207867,-0.138893
+0.708984,-0.220480,-0.117849
+0.710938,-0.230970,-0.095671
+0.712891,-0.239235,-0.072571
+0.714844,-0.245196,-0.048773
+0.716797,-0.248796,-0.024504
+0.718750,-0.250000,-0.000000
+0.720703,-0.248796,+0.024504
+0.722656,-0.245196,+0.048773
+0.724609,-0.239235,+0.072571
+0.726562,-0.230970,+0.095671
+0.728516,-0.220480,+0.117849
+0.730469,-0.207867,+0.138893
+0.732422,-0.193253,+0.158598
+0.734375,-0.176777,+0.176777
+0.736328,-0.158598,+0.193253
+0.738281,-0.138893,+0.207867
+0.740234,-0.117849,+0.220480
+0.742188,-0.095671,+0.230970
+0.744141,-0.072571,+0.239235
+0.746094,-0.048773,+0.245196
+0.748047,-0.024504,+0.248796
+0.750000,-0.000000,+0.250000
+0.751953,+0.024504,+0.248796
+0.753906,+0.048773,+0.245196
+0.755859,+0.072571,+0.239235
+0.757812,+0.095671,+0.230970
+0.759766,+0.117849,+0.220480
+0.761719,+0.138893,+0.207867
+0.763672,+0.158598,+0.193253
+0.765625,+0.176777,+0.176777
+0.767578,+0.193253,+0.158598
+0.769531,+0.207867,+0.138893
+0.771484,+0.220480,+0.117849
+0.773438,+0.230970,+0.095671
+0.775391,+0.239235,+0.072571
+0.777344,+0.245196,+0.048773
+0.779297,+0.248796,+0.024504
+0.781250,+0.250000,-0.000000
+0.783203,+0.248796,-0.024504
+0.785156,+0.245196,-0.048773
+0.787109,+0.239235,-0.072571
+0.789062,+0.230970,-0.095671
+0.791016,+0.220480,-0.117849
+0.792969,+0.207867,-0.138893
+0.794922,+0.193253,-0.158598
+0.796875,+0.176777,-0.176777
+0.798828,+0.158598,-0.193253
+0.800781,+0.138893,-0.207867
+0.802734,+0.117849,-0.220480
+0.804688,+0.095671,-0.230970
+0.806641,+0.072571,-0.239235
+0.808594,+0.048773,-0.245196
+0.810547,+0.024504,-0.248796
+0.812500,-0.000000,-0.250000
+0.814453,-0.024504,-0.248796
+0.816406,-0.048773,-0.245196
+0.818359,-0.072571,-0.239235
+0.820312,-0.095671,-0.230970
+0.822266,-0.117849,-0.220480
+0.824219,-0.138893,-0.207867
+0.826172,-0.158598,-0.193253
+0.828125,-0.176777,-0.176777
+0.830078,-0.193253,-0.158598
+0.832031,-0.207867,-0.138893
+0.833984,-0.220480,-0.117849
+0.835938,-0.230970,-0.095671
+0.837891,-0.239235,-0.072571
+0.839844,-0.245196,-0.048773
+0.841797,-0.248796,-0.024504
+0.843750,-0.250000,-0.000000
+0.845703,-0.248796,+0.024504
+0.847656,-0.245196,+0.048773
+0.849609,-0.239235,+0.072571
+0.851562,-0.230970,+0.095671
+0.853516,-0.220480,+0.117849
+0.855469,-0.207867,+0.138893
+0.857422,-0.193253,+0.158598
+0.859375,-0.176777,+0.176777
+0.861328,-0.158598,+0.193253
+0.863281,-0.138893,+0.207867
+0.865234,-0.117849,+0.220480
+0.867188,-0.095671,+0.230970
+0.869141,-0.072571,+0.239235
+0.871094,-0.048773,+0.245196
+0.873047,-0.024504,+0.248796
+0.875000,-0.000000,+0.250000
+0.876953,+0.024504,+0.248796
+0.878906,+0.048773,+0.245196
+0.880859,+0.072571,+0.239235
+0.882812,+0.095671,+0.230970
+0.884766,+0.117849,+0.220480
+0.886719,+0.138893,+0.207867
+0.888672,+0.158598,+0.193253
+0.890625,+0.176777,+0.176777
+0.892578,+0.193253,+0.158598
+0.894531,+0.207867,+0.138893
+0.896484,+0.220480,+0.117849
+0.898438,+0.230970,+0.095671
+0.900391,+0.239235,+0.072571
+0.902344,+0.245196,+0.048773
+0.904297,+0.248796,+0.024504
+0.906250,+0.250000,-0.000000
+0.908203,+0.248796,-0.024504
+0.910156,+0.245196,-0.048773
+0.912109,+0.239235,-0.072571
+0.914062,+0.230970,-0.095671
+0.916016,+0.220480,-0.117849
+0.917969,+0.207867,-0.138893
+0.919922,+0.193253,-0.158598
+0.921875,+0.176777,-0.176777
+0.923828,+0.158598,-0.193253
+0.925781,+0.138893,-0.207867
+0.927734,+0.117849,-0.220480
+0.929688,+0.095671,-0.230970
+0.931641,+0.072571,-0.239235
+0.933594,+0.048773,-0.245196
+0.935547,+0.024504,-0.248796
+0.937500,+0.000000,-0.250000
+0.939453,-0.024504,-0.248796
+0.941406,-0.048773,-0.245196
+0.943359,-0.072571,-0.239235
+0.945312,-0.095671,-0.230970
+0.947266,-0.117849,-0.220480
+0.949219,-0.138893,-0.207867
+0.951172,-0.158598,-0.193253
+0.953125,-0.176777,-0.176777
+0.955078,-0.193253,-0.158598
+0.957031,-0.207867,-0.138893
+0.958984,-0.220480,-0.117849
+0.960938,-0.230970,-0.095671
+0.962891,-0.239235,-0.072571
+0.964844,-0.245196,-0.048773
+0.966797,-0.248796,-0.024504
+0.968750,-0.250000,-0.000000
+0.970703,-0.248796,+0.024504
+0.972656,-0.245196,+0.048773
+0.974609,-0.239235,+0.072571
+0.976562,-0.230970,+0.095671
+0.978516,-0.220480,+0.117849
+0.980469,-0.207867,+0.138893
+0.982422,-0.193253,+0.158598
+0.984375,-0.176777,+0.176777
+0.986328,-0.158598,+0.193253
+0.988281,-0.138893,+0.207867
+0.990234,-0.117849,+0.220480
+0.992188,-0.095671,+0.230970
+0.994141,-0.072571,+0.239235
+0.996094,-0.048773,+0.245196
+0.998047,-0.024504,+0.248796
+1.000000,-0.000000,+0.250000
